objetID,dateReferentiel,route,longueur,prD,depPrD,concessionPrD,absD,cumulD,x_debut,y_debut,zD,prF,depPrF,concessionPrF,absF,cumulF,xF,yF,zF,cote,voie,accrochage,anneeMesureTrafic,typeComptageTrafic,typeComptageTrafic_lib,trafic_moyen_journalier,ratio_PL
TMJ19_1,01/01/2019,A0001,2440,0,93,N,0,0,"653006,6","6867037,55",0,2,93,N,460,2440,"652895,68","6869486,5",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_2,01/01/2019,A0001,"785,2",2,93,N,460,2440,"652895,68","6869486,5",0,3,93,N,"248,2","3225,2","653192,95","6870100,7",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_3,01/01/2019,A0001,"401,8",3,93,N,"248,2","3225,2","653192,95","6870100,7",0,3,93,N,650,3627,"653570,77","6870241,67",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_4,01/01/2019,A0001,"820,5",3,93,N,650,3627,"653570,77","6870241,67",0,4,93,N,"460,5","4447,5","654333,83","6870523,68",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_5,01/01/2019,A0001,"229,5",4,93,N,"460,5","4447,5","654333,83","6870523,68",0,4,93,N,690,4677,"654554,12",6870572,0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_6,01/01/2019,A0001,210,4,93,N,690,4677,"654554,12",6870572,0,4,93,N,900,4887,"654759,06","6870596,05",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132186.0,
TMJ19_7,01/01/2019,A0001,2018,4,93,N,900,4887,"654759,06","6870596,05",0,6,93,N,900,6905,"656725,22","6870934,53",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,132757.0,
TMJ19_8,01/01/2019,A0001,102,6,93,N,900,6905,"656725,22","6870934,53",0,7,93,N,0,7007,"656820,85","6870967,75",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,179900.0,
TMJ19_9,01/01/2019,A0001,1700,7,93,N,0,7007,"656820,85","6870967,75",0,8,93,N,700,8707,"658432,54","6871533,44",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,179900.0,
TMJ19_10,01/01/2019,A0001,2818,8,93,N,700,8707,"658432,54","6871533,44",0,11,93,N,513,11525,"660673,01","6873226,12",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,196501.0,50
TMJ19_11,01/01/2019,A0001,678,11,93,N,513,11525,"660673,01","6873226,12",0,12,93,N,200,12203,"661190,21","6873674,3",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,122500.0,
TMJ19_12,01/01/2019,A0001,1202,12,93,N,200,12203,"661190,21","6873674,3",0,0,95,N,0,13405,"662045,66","6874523,29",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,122500.0,
TMJ19_14,01/01/2019,A0001,4820,14,95,N,0,13985,"662458,53","6874933,32",0,18,95,N,810,18805,"665417,28","6878704,65",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,98800.0,
Sanef_1,01/01/2019,A0001,1499,19,95,C,0,18875,"665481,08","6878892,47",0,20,95,C,499,20374,"665966,61","6880317,6",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,100582.0,"17,01"
NbILnCD_section1_Sanef_1,01/01/2019,A0001,242,20,95,C,499,20374,"665966,61","6880317,6",0,20,95,C,741,20616,"666035,68","6880520,91",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,100582.0,"17,01"
NbILnCD_section2_Sanef_1,01/01/2019,A0001,7132,20,95,C,741,20616,"666035,68","6880520,91",0,27,95,C,873,27748,"667208,81","6887489,88",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,100582.0,"17,01"
Sanef_2,01/01/2019,A0001,2777,27,95,C,873,27748,"667208,81","6887489,88",0,30,95,C,650,30525,"667345,96","6890249,01",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,88718.0,"17,69"
NbILnCD_section1_Sanef_2,01/01/2019,A0001,1610,30,95,C,650,30525,"667345,96","6890249,01",0,32,60,C,260,32135,"667686,69","6891809,56",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,88718.0,"17,69"
Sanef_3,01/01/2019,A0001,10166,32,60,C,260,32135,"667686,69","6891809,56",0,42,60,C,426,42301,"671659,72","6900724,84",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,85306.0,"18,26"
Sanef_4,01/01/2019,A0001,1694,42,60,C,426,42301,"671659,72","6900724,84",0,44,60,C,120,43995,"672895,5","6901827,49",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,60705.0,"22,93"
Sanef_5,01/01/2019,A0001,13620,44,60,C,120,43995,"672895,5","6901827,49",0,57,60,C,740,57615,"677269,45","6913464,74",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,66830.0,"23,22"
Sanef_6,01/01/2019,A0001,8733,57,60,C,740,57615,"677269,45","6913464,74",0,66,60,C,473,66348,"678030,74","6921986,21",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,59640.0,"24,67"
Sanef_7,01/01/2019,A0001,14075,66,60,C,473,66348,"678030,74","6921986,21",0,80,60,C,548,80423,"679799,4","6935810,25",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,55654.0,"25,69"
Sanef_8,01/01/2019,A0001,11468,80,60,C,548,80423,"679799,4","6935810,25",0,92,60,C,16,91891,"682330,82","6946951,22",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,56145.0,"25,52"
NbILnCD_section1_Sanef_8,01/01/2019,A0001,9286,92,60,C,16,91891,"682330,82","6946951,22",0,101,80,C,302,101177,"683521,06","6956095,56",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,56145.0,"25,52"
Sanef_9,01/01/2019,A0001,17216,101,80,C,302,101177,"683521,06","6956095,56",0,118,80,C,518,118393,"687952,39","6972647,1",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,53287.0,"26,09"
Sanef_10,01/01/2019,A0001,2964,118,80,C,518,118393,"687952,39","6972647,1",0,121,80,C,482,121357,"688279,33","6975583,73",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,66471.0,"24,62"
Sanef_11,01/01/2019,A0001,10318,121,80,C,482,121357,"688279,33","6975583,73",0,131,80,C,800,131675,"690044,79","6985631,47",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,66888.0,"25,25"
Sanef_12,01/01/2019,A0001,4966,131,80,C,800,131675,"690044,79","6985631,47",0,136,80,C,766,136641,"691298,91","6990414,29",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,67641.0,"25,05"
Sanef_13,01/01/2019,A0001,2220,136,80,C,766,136641,"691298,91","6990414,29",0,138,80,C,986,138861,"691699,49","6992566,8",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,44371.0,"26,04"
NbILnCD_section1_Sanef_13,01/01/2019,A0001,7891,138,80,C,986,138861,"691699,49","6992566,8",0,146,62,C,877,146752,"690810,7","7000344,35",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,44371.0,"26,04"
Sanef_14,01/01/2019,A0001,19107,146,62,C,877,146752,"690810,7","7000344,35",0,165,62,C,984,165859,"690643,39","7019124,53",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,45960.0,"26,03"
Sanef_15,01/01/2019,A0001,4322,165,62,C,984,165859,"690643,39","7019124,53",0,170,62,C,306,170181,"692272,53","7023133,97",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,47380.0,"26,19"
Sanef_16,01/01/2019,A0001,3760,170,62,C,306,170181,"692272,53","7023133,97",0,174,62,C,66,173941,"694414,51","7026218,92",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,48851.0,"25,6"
Sanef_17,01/01/2019,A0001,11959,174,62,C,66,173941,"694414,51","7026218,92",0,186,62,C,25,185900,"698769,14","7036692,02",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,73540.0,"18,78"
Sanef_38,01/01/2019,A0002,3533,0,80,C,0,0,"691468,61","6990871,19",0,3,80,C,533,3533,"693370,6","6993152,82",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,23269.0,"23,17"
0Odmg0O_section1_Sanef_38,01/01/2019,A0002,1122,3,80,C,533,3533,"693370,6","6993152,82",0,4,62,C,655,4655,"694311,12","6993756,09",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,23269.0,"23,17"
0Odmg0O_section2_Sanef_38,01/01/2019,A0002,382,4,62,C,655,4655,"694311,12","6993756,09",0,5,80,C,37,5037,"694644,11","6993988,07",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,23269.0,"23,17"
0Odmg0O_section3_Sanef_38,01/01/2019,A0002,18563,5,80,C,37,5037,"694644,11","6993988,07",0,23,62,C,600,23600,"709099,55","7005132,49",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,23269.0,"23,17"
Sanef_39,01/01/2019,A0002,39,23,62,C,600,23600,"709099,55","7005132,49",0,23,62,C,639,23639,"709125,65","7005156,86",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,30405.0,"22,11"
0Odmg0O_section1_Sanef_39,01/01/2019,A0002,5675,23,62,C,639,23639,"709125,65","7005156,86",0,29,59,C,314,29314,"713257,98","7008860,47",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,30405.0,"22,11"
Sanef_40,01/01/2019,A0002,13367,29,59,C,314,29314,"713257,98","7008860,47",0,43,59,N,0,42681,"723006,21","7017397,47",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,30846.0,"22,23"
TMJ19_34,01/01/2019,A0003,2657,0,93,N,0,0,"656905,33","6862885,42",0,2,93,N,600,2657,"659083,07","6864154,78",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,131984.0,
TMJ19_35,01/01/2019,A0003,2026,2,93,N,600,2657,"659083,07","6864154,78",0,5,93,N,0,4683,"660839,58","6865000,1",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,131984.0,
TMJ19_36,01/01/2019,A0003,850,5,93,N,0,4683,"660839,58","6865000,1",0,5,93,N,850,5533,"661438,58","6865461,2",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,131984.0,
TMJ19_37,01/01/2019,A0003,570,5,93,N,850,5533,"661438,58","6865461,2",0,6,93,N,480,6103,"661341,51","6866014,86",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,118500.0,
TMJ19_38,01/01/2019,A0003,790,6,93,N,480,6103,"661341,51","6866014,86",0,7,93,N,300,6893,"661115,54","6866753,89",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,118500.0,
TMJ19_39,01/01/2019,A0003,6808,7,93,N,300,6893,"661115,54","6866753,89",0,13,93,N,959,13701,"661436,37","6873324,45",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,136851.0,112
TMJ19_40,01/01/2019,A0003,1068,13,93,N,959,13701,"661436,37","6873324,45",0,15,93,N,0,14769,"661828,24","6874285,56",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,136851.0,112
TMJ19_41,01/01/2019,A0003,234,15,93,N,0,14769,"661828,24","6874285,56",0,15,93,N,234,15003,"662054,31","6874505,58",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,136851.0,112
TMJ19_44,01/01/2019,A0004,"730,1",0,94,N,0,0,"655327,41","6858648,39",0,0,94,N,"730,1","730,1","655913,12","6858057,42",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,221626.0,
