objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;zD;prF;depPrF;concessionPrF;absF;cumulF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL;latitudeD;longitudeD;latitudeF;longitudeF
CONTINUITE_12;01/01/2019;31D0044;44;0;31;N;0;0;0;0;31;N;44;44;0;I;0;ACCROCHE;;;;;;42.91138223323514;0.695459207123762;42.91126347251748;0.6959746700908738
CONTINUITE_13;01/01/2019;31D0044E;762;0;31;N;0;0;0;0;31;N;762;762;0;I;0;ACCROCHE;;;;;;42.9124900296176;0.6918711177128821;42.90833116645853;0.6983215976132019
CONTINUITE_14;01/01/2019;69D0301;6055;2;69;N;-981;0;0;7;69;N;71;6055;0;I;0;ACCROCHE;;;;;;45.68162878479949;4.850574720100509;45.667307443079345;4.918314582796484
CONTINUITE_15;01/01/2019;69D0383;13752;4;69;N;-494;0;0;17;69;N;544;13752;0;I;0;ACCROCHE;;;;;;45.785151322754245;4.89002023468039;45.69634792135713;4.844653473153101
CONTINUITE_9;01/01/2019;69D0383BPNL;2408;0;69;N;0;0;0;2;69;N;413;2408;0;I;0;ACCROCHE;;;;;;45.78914921651743;4.866352495109888;45.785151322754245;4.89002023468039
CONTINUITE_10;01/01/2019;75000C01;35040;0;75;N;0;0;0;35;75;N;40;35040;0;I;0;ACCROCHE;;;;;;48.827008046378076;2.3900598909308393;48.827008046378076;2.3900598909308393
CONTINUITE_11;01/01/2019;75000C02;35040;0;75;N;0;0;0;35;75;N;40;35040;0;I;0;ACCROCHE;;;;;;48.82683713197101;2.3901414399517527;48.82683713197101;2.3901414399517527
TMJ19_1;01/01/2019;A0001;2440;0;93;N;0;0;0;2;93;N;460;2440;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.9016236834451;2.3589728698125776;48.923637643741735;2.357187960012108
TMJ19_2;01/01/2019;A0001;785,2;2;93;N;460;2440;0;3;93;N;248,2;3225,2;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.923637643741735;2.357187960012108;48.929182433685554;2.3611766876262754
TMJ19_3;01/01/2019;A0001;401,8;3;93;N;248,2;3225,2;0;3;93;N;650;3627;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.929182433685554;2.3611766876262754;48.93047745683887;2.3663175186375627
TMJ19_4;01/01/2019;A0001;820,5;3;93;N;650;3627;0;4;93;N;460,5;4447,5;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.93047745683887;2.3663175186375627;48.933067993074985;2.376701212389252
TMJ19_5;01/01/2019;A0001;229,5;4;93;N;460,5;4447,5;0;4;93;N;690;4677;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.933067993074985;2.376701212389252;48.93351810027727;2.379702651728293
TMJ19_6;01/01/2019;A0001;210;4;93;N;690;4677;0;4;93;N;900;4887;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132186.0;;48.93351810027727;2.379702651728293;48.9337488097275;2.3824972259201433
TMJ19_7;01/01/2019;A0001;2018;4;93;N;900;4887;0;6;93;N;900;6905;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;132757.0;;48.9337488097275;2.3824972259201433;48.93692778900348;2.4092981585176565
TMJ19_8;01/01/2019;A0001;102;6;93;N;900;6905;0;7;93;N;0;7007;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;179900.0;;48.93692778900348;2.4092981585176565;48.937232939120456;2.410600077242747
TMJ19_9;01/01/2019;A0001;1700;7;93;N;0;7007;0;8;93;N;700;8707;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;179900.0;;48.937232939120456;2.410600077242747;48.94242595082009;2.432543552082936
