code_geo,latitude,longitude,year,city_code,zip_code,DATE_ARRETE,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
01001,46.153721024,4.925850148,2020,l abergement clemenciat,1400,2020-12-31,6,0,881
01001,46.153721024,4.925850148,2021,l abergement clemenciat,1400,2021-03-31,12,0,1780
01001,46.153721024,4.925850148,2022,l abergement clemenciat,1400,2022-09-30,11,0,916
01001,46.153721024,4.925850148,2024,l abergement clemenciat,1400,2024-03-31,16,0,952
01002,46.009605679,5.428087796,2020,l abergement de varey,1640,2020-12-31,1,0,278
01002,46.009605679,5.428087796,2021,l abergement de varey,1640,2021-09-30,4,0,569
01002,46.009605679,5.428087796,2022,l abergement de varey,1640,2022-09-30,8,0,565
01004,45.961048852,5.372275427,2021,amberieu en bugey,1500,2021-06-30,323,0,30350
01004,45.961048852,5.372275427,2023,amberieu en bugey,1500,2023-06-30,685,2,31322
01005,45.99616357,4.911967138,2021,amberieux en dombes,1330,2021-09-30,12,0,2055
01005,45.99616357,4.911967138,2022,amberieux en dombes,1330,2022-03-31,34,0,4191
01005,45.99616357,4.911967138,2023,amberieux en dombes,1330,2023-09-30,39,0,2153
01006,45.749886304,5.594584599,2021,ambleon,1300,2021-03-31,0,0,311
01006,45.749886304,5.594584599,2022,ambleon,1300,2022-03-31,0,0,316
01006,45.749886304,5.594584599,2023,ambleon,1300,2023-03-31,0,0,159
01006,45.749886304,5.594584599,2024,ambleon,1300,2024-03-31,1,0,160
01007,46.005690539,5.357748739,2021,ambronay,1500,2021-09-30,23,0,3007
01007,46.005690539,5.357748739,2023,ambronay,1500,2023-03-31,115,0,6118
01008,45.936683389,5.332446671,2020,ambutrix,1500,2020-12-31,5,1,856
01008,45.936683389,5.332446671,2021,ambutrix,1500,2021-06-30,8,1,849
01008,45.936683389,5.332446671,2022,ambutrix,1500,2022-09-30,9,1,827
01008,45.936683389,5.332446671,2023,ambutrix,1500,2023-09-30,15,1,819
01009,45.787194157,5.657799976,2021,andert et condon,1300,2021-09-30,3,0,418
01009,45.787194157,5.657799976,2022,andert et condon,1300,2022-06-30,4,0,430
01009,45.787194157,5.657799976,2023,andert et condon,1300,2023-03-31,4,0,438
01010,45.909091467,5.795056945,2020,anglefort,1350,2020-12-31,5,0,1356
01010,45.909091467,5.795056945,2021,anglefort,1350,2021-03-31,5,0,1352
01010,45.909091467,5.795056945,2022,anglefort,1350,2022-03-31,11,0,1401
01010,45.909091467,5.795056945,2023,anglefort,1350,2023-09-30,57,0,2915
01010,45.909091467,5.795056945,2024,anglefort,1350,2024-03-31,62,0,2919
01011,46.205877513,5.657980818,2021,apremont,1100,2021-12-31,3,0,406
01011,46.205877513,5.657980818,2023,apremont,1100,2023-12-31,7,0,418
01012,46.001293319,5.510946399,2021,aranc,1110,2021-03-31,3,0,1062
01012,46.001293319,5.510946399,2022,aranc,1110,2022-09-30,5,0,748
01012,46.001293319,5.510946399,2023,aranc,1110,2023-03-31,20,0,1551
01012,46.001293319,5.510946399,2024,aranc,1110,2024-03-31,8,0,395
01013,45.890233979,5.498924738,2021,arandas,1230,2021-12-31,0,0,171
01013,45.890233979,5.498924738,2022,arandas,1230,2022-12-31,0,0,171
01013,45.890233979,5.498924738,2023,arandas,1230,2023-09-30,0,0,181
01013,45.890233979,5.498924738,2024,arandas,1230,2024-03-31,1,0,178
01014,46.283607621,5.690755574,2021,arbent,1100,2021-09-30,41,1,4267
01014,46.283607621,5.690755574,2022,arbent,1100,2022-03-31,97,2,8520
01014,46.283607621,5.690755574,2023,arbent,1100,2023-03-31,62,1,4353
01014,46.283607621,5.690755574,2024,arbent,1100,2024-06-30,111,1,4471
01015,45.712796712,5.64167722,2020,arboys en bugey,1300,2020-12-31,6,0,1444
01015,45.712796712,5.64167722,2021,arboys en bugey,1300,2021-06-30,26,0,2870
01015,45.712796712,5.64167722,2023,arboys en bugey,1300,2023-03-31,26,0,1514
01016,46.477598582,4.960100975,2020,arbigny,1190,2020-12-31,2,0,494
01016,46.477598582,4.960100975,2021,arbigny,1190,2021-03-31,6,0,990
01016,46.477598582,4.960100975,2022,arbigny,1190,2022-03-31,7,0,974
01016,46.477598582,4.960100975,2023,arbigny,1190,2023-03-31,10,0,983
01016,46.477598582,4.960100975,2024,arbigny,1190,2024-03-31,8,0,503
01017,45.933504727,5.482593252,2021,argis,1230,2021-06-30,4,0,1184
01017,45.933504727,5.482593252,2023,argis,1230,2023-06-30,13,0,1224
01017,45.933504727,5.482593252,2024,argis,1230,2024-06-30,10,0,628
01019,45.854492231,5.583031315,2020,armix,1510,2020-12-31,0,0,27
01019,45.854492231,5.583031315,2021,armix,1510,2021-06-30,0,0,26
01019,45.854492231,5.583031315,2022,armix,1510,2022-03-31,0,0,83
01021,45.993537592,4.821960428,2021,ars sur formans,1480,2021-03-31,9,1,1433
01021,45.993537592,4.821960428,2022,ars sur formans,1480,2022-06-30,46,2,2979
01021,45.993537592,4.821960428,2023,ars sur formans,1480,2023-06-30,27,1,1487
01021,45.993537592,4.821960428,2024,ars sur formans,1480,2024-03-31,87,2,2979
01022,45.869624164,5.690088298,2021,artemare,1510,2021-12-31,5,0,1369
01022,45.869624164,5.690088298,2023,artemare,1510,2023-03-31,7,0,1358
01022,45.869624164,5.690088298,2024,artemare,1510,2024-03-31,17,0,1400
01023,46.385206065,4.883700297,2021,asnieres sur saone,1570,2021-06-30,0,0,172
01023,46.385206065,4.883700297,2022,asnieres sur saone,1570,2022-06-30,0,0,187
01023,46.385206065,4.883700297,2023,asnieres sur saone,1570,2023-09-30,1,0,188
01023,46.385206065,4.883700297,2024,asnieres sur saone,1570,2024-03-31,0,0,92
01024,46.286061273,5.179817579,2020,attignat,1340,2020-12-31,21,0,3360
01024,46.286061273,5.179817579,2021,attignat,1340,2021-12-31,37,0,3373
01024,46.286061273,5.179817579,2022,attignat,1340,2022-09-30,42,0,3404
01024,46.286061273,5.179817579,2023,attignat,1340,2023-12-31,69,0,3485
01025,46.327468413,4.966993244,2021,bage dommartin,1380,2021-03-31,92,0,17260
01025,46.327468413,4.966993244,2022,bage dommartin,1380,2022-03-31,168,0,17470
01025,46.327468413,4.966993244,2023,bage dommartin,1380,2023-12-31,136,0,8956
01025,46.327468413,4.966993244,2024,bage dommartin,1380,2024-03-31,148,0,8982
01026,46.308270333,4.9298452820000005,2020,bage le chatel,1380,2020-12-31,3,0,949
01026,46.308270333,4.9298452820000005,2022,bage le chatel,1380,2022-09-30,8,0,987
01026,46.308270333,4.9298452820000005,2023,bage le chatel,1380,2023-09-30,9,0,978
01026,46.308270333,4.9298452820000005,2024,bage le chatel,1380,2024-03-31,11,0,985
01027,45.830979009,5.108003865,2021,balan,1360,2021-12-31,20,0,2067
01027,45.830979009,5.108003865,2023,balan,1360,2023-06-30,41,0,2119
01027,45.830979009,5.108003865,2024,balan,1360,2024-06-30,58,0,2187
01028,46.114061723,4.901684997,2021,baneins,1990,2021-12-31,9,0,748
01028,46.114061723,4.901684997,2022,baneins,1990,2022-03-31,21,0,1513
01028,46.114061723,4.901684997,2023,baneins,1990,2023-06-30,11,0,760
01029,46.428649695,5.260337095,2021,beaupont,1270,2021-03-31,3,0,663
01029,46.428649695,5.260337095,2022,beaupont,1270,2022-03-31,14,0,1351
