code_geo,GEO_OBJECT,FREQ,type_population,annee,valeur_population
15089,COM,A,Population totale,2016,470
15163,COM,A,Population totale,2016,1104
16190,COM,A,Population municipale,2016,194
14563,COM,A,Population municipale,2016,422
16185,COM,A,Population totale,2016,164
16082,COM,A,Population comptée à part,2016,15
15013,COM,A,Population municipale,2016,158
14710,COM,A,Population comptée à part,2016,0
15114,COM,A,Population totale,2016,518
21091,COM,A,Population comptée à part,2016,1
19258,COM,A,Population municipale,2016,616
19083,COM,A,Population comptée à part,2016,2
21041,COM,A,Population totale,2016,189
21128,COM,A,Population totale,2016,255
19078,COM,A,Population municipale,2016,425
21119,COM,A,Population totale,2016,42
18164,COM,A,Population municipale,2016,142
21018,COM,A,Population comptée à part,2016,0
18227,COM,A,Population comptée à part,2016,3
21114,COM,A,Population municipale,2016,185
21023,COM,A,Population municipale,2016,1454
11076,COM,A,Population comptée à part,2016,607
11248,COM,A,Population comptée à part,2016,4
11427,COM,A,Population totale,2016,314
11304,COM,A,Population comptée à part,2016,112
12041,COM,A,Population totale,2016,253
11060,COM,A,Population totale,2016,50
10355,COM,A,Population totale,2016,63
11222,COM,A,Population comptée à part,2016,1
11395,COM,A,Population totale,2016,33
11079,COM,A,Population municipale,2016,188
11084,COM,A,Population municipale,2016,959
10357,COM,A,Population totale,2016,3171
17150,COM,A,Population comptée à part,2016,8
17259,COM,A,Population totale,2016,154
17198,COM,A,Population municipale,2016,288
17309,COM,A,Population municipale,2016,1898
16343,COM,A,Population municipale,2016,288
17261,COM,A,Population totale,2016,338
17348,COM,A,Population totale,2016,697
17446,COM,A,Population totale,2016,462
17098,COM,A,Population municipale,2016,588
17421,COM,A,Population comptée à part,2016,134
17220,COM,A,Population totale,2016,436
16356,COM,A,Population municipale,2016,31
09314,COM,A,Population comptée à part,2016,7
10076,COM,A,Population municipale,2016,291
09055,COM,A,Population comptée à part,2016,0
09105,COM,A,Population totale,2016,737
09206,COM,A,Population municipale,2016,502
09137,COM,A,Population totale,2016,185
10121,COM,A,Population comptée à part,2016,13
10298,COM,A,Population municipale,2016,1161
10107,COM,A,Population comptée à part,2016,4
09017,COM,A,Population totale,2016,113
10279,COM,A,Population municipale,2016,66
09210,COM,A,Population totale,2016,416
15121,COM,A,Population comptée à part,2016,0
14698,COM,A,Population municipale,2016,345
15219,COM,A,Population municipale,2016,329
16147,COM,A,Population comptée à part,2016,8
15086,COM,A,Population comptée à part,2016,3
16038,COM,A,Population comptée à part,2016,10
16169,COM,A,Population totale,2016,599
15098,COM,A,Population comptée à part,2016,1
16227,COM,A,Population municipale,2016,137
16060,COM,A,Population comptée à part,2016,13
14619,COM,A,Population municipale,2016,122
15215,COM,A,Population municipale,2016,1154
05145,COM,A,Population totale,2016,1124
03304,COM,A,Population totale,2016,2279
07083,COM,A,Population totale,2016,443
04006,COM,A,Population comptée à part,2016,7
03288,COM,A,Population totale,2016,424
07092,COM,A,Population comptée à part,2016,1
04224,COM,A,Population totale,2016,91
07012,COM,A,Population municipale,2016,368
07091,COM,A,Population municipale,2016,331
05085,COM,A,Population totale,2016,499
06015,COM,A,Population municipale,2016,1259
06109,COM,A,Population comptée à part,2016,4
21152,COM,A,Population comptée à part,2016,5
19201,COM,A,Population totale,2016,602
19124,COM,A,Population totale,2016,1443
18258,COM,A,Population comptée à part,2016,17
18201,COM,A,Population municipale,2016,770
19156,COM,A,Population totale,2016,150
21060,COM,A,Population totale,2016,1643
19200,COM,A,Population municipale,2016,94
18144,COM,A,Population municipale,2016,492
19175,COM,A,Population comptée à part,2016,3
19106,COM,A,Population totale,2016,390
21047,COM,A,Population comptée à part,2016,2
08060,COM,A,Population municipale,2016,283
08202,COM,A,Population comptée à part,2016,4
07272,COM,A,Population comptée à part,2016,12
08352,COM,A,Population comptée à part,2016,4
07181,COM,A,Population municipale,2016,2861
08078,COM,A,Population totale,2016,883
07118,COM,A,Population comptée à part,2016,7
08421,COM,A,Population comptée à part,2016,0
08362,COM,A,Population municipale,2016,7662
08401,COM,A,Population totale,2016,239
07295,COM,A,Population municipale,2016,1114
07126,COM,A,Population totale,2016,1187
13060,COM,A,Population comptée à part,2016,85
13076,COM,A,Population municipale,2016,3429
14103,COM,A,Population totale,2016,419
14497,COM,A,Population comptée à part,2016,3
12267,COM,A,Population totale,2016,640
12247,COM,A,Population totale,2016,309
14216,COM,A,Population comptée à part,2016,3
14146,COM,A,Population comptée à part,2016,4
14275,COM,A,Population comptée à part,2016,6
14227,COM,A,Population totale,2016,220
13058,COM,A,Population totale,2016,2306
14136,COM,A,Population totale,2016,109
12061,COM,A,Population municipale,2016,579
11063,COM,A,Population municipale,2016,576
11021,COM,A,Population totale,2016,565
12093,COM,A,Population totale,2016,177
11066,COM,A,Population totale,2016,101
